(0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0), [-9.880204810736515e-06, 0.16956214153199897, 0.0]
(0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0), [-0.01, 0.1902873128144947, 0.0]
(0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0), [0.21079992942479794, -0.01, 0.0]
(0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0), [-0.01, 1.7726718870976808, -9.89009348537327e-06]
(0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0), [-9.880203391887898e-06, -9.870329467102054e-06, 3.4880827417737743]
(0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0), [-9.890099840089402e-06, -9.899767376715506e-06, 0.24830559140803776]
(0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1), [4.348582013576665, 0.0, 0.0]
(0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0), [-0.01, 0.22640328622396602, -0.01]
(0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0), [4.002271081353196, -0.01, 0.0]
(0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0), [-0.01, 2.7300302724503203, -0.009999989872828763]
(0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0), [0.30811325407208695, 0.0, 0.0]
(0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0), [-8.660630522074678e-06, 0.30194826732132346, 0.0]
(0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1), [-9.200421862167768e-09, 3.2540988567341627, 0.0]
(1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0), [-0.009999999999971438, 0.3262345791609327, 0.0]
(1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0), [0.13748961205868448, -0.01, 0.0]
(0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1), [0.0286590970225949, -0.01, -0.009999999982331201]
(0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0), [4.825337289942447e-05, 0.0, -0.029970010000000002]
(0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0), [-0.01, 0.28893597713993197, 9.831177554856234e-06]
(0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0), [0.2474226544365813, 0.0, 0.0]
(0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0), [-0.00999, -8.431441014072186e-06, 0.04065447329312788]
